year,dest_province,inflow,outflow,net_migration,dest_population,partners,inflow_per_1000,outflow_per_1000,net_per_1000,outflow_yoy_pct,inflow_yoy_pct,net_yoy_change,outflow_per_1000_yoy_pct,net_per_1000_change
2009,KAYSERİ,31075,28831,2244,1205872,80,25.769733437711462,23.908839412474954,1.8608940252365094,0.7337269836833027,3.5108757203291097,844.0,-1.061127576312637,0.6788469561222172
2010,KAYSERİ,37842,30380,7462,1234651,80,30.649956951397602,24.606143760463485,6.043813190934118,5.372689119350693,21.776347546259057,5218.0,2.916512742248356,4.182919165697609
2011,KAYSERİ,34387,31787,2600,1255349,80,27.39238251673439,25.321245326996717,2.0711371897376747,4.631336405529951,-9.130067121188102,-4862.0,2.9061911264707696,-3.9726760011964437
2012,KAYSERİ,33917,30143,3774,1274968,80,26.602236291420645,23.642161999359985,2.9600742920606633,-5.171925629974517,-1.366795591357195,1174.0,-6.631124598941218,0.8889371023229886
2013,KAYSERİ,36580,33789,2791,1295355,80,28.239362954556857,26.084741248538045,2.1546217060188133,12.09567727167169,7.851519886782432,-983.0,10.331454666642514,-0.80545258604185
2014,KAYSERİ,40957,33374,7583,1322376,80,30.972280198672692,25.23790510414587,5.734375094526821,-1.2282103643197484,11.965554948059044,4792.0,-3.246480907452498,3.5797533885080077
2015,KAYSERİ,37832,36087,1745,1341056,80,28.210604180586046,26.909390808437532,1.3012133721485157,8.129082519326424,-7.6299533657250285,-5838.0,6.6229177794042915,-4.433161722378305
2016,KAYSERİ,35573,35540,33,1358980,80,26.17624983443465,26.151966916363744,0.024282918070906122,-1.515781306287578,-5.971135546627194,-1712.0,-2.814719580483016,-1.2769304540776096
2017,KAYSERİ,38958,36863,2095,1376722,80,28.297651958783256,26.775921355219136,1.5217306035641183,3.722566122678672,9.51564388721784,2062.0,2.3858795816423806,1.4974476854932122
2018,KAYSERİ,38690,48047,-9357,1389680,80,27.840941799550976,34.57414656611594,-6.733204766564965,30.339364674605985,-0.6879203244519738,-11452.0,29.124021942859436,-8.254935370129083
2019,KAYSERİ,40579,39013,1566,1407409,80,28.83241474226753,27.719731790829815,1.112682951437713,-18.802422627843573,4.882398552597578,10923.0,-19.825260942243272,7.845887718002678
2020,KAYSERİ,31766,30033,1733,1421455,80,22.34752419176126,21.12835087990826,1.2191733118529957,-23.01796836951785,-21.718130067276174,167.0,-23.778660488706826,0.1064903604152827
2021,KAYSERİ,40628,39915,713,1434357,80,28.3248870399768,27.82780019200241,0.4970868479743885,32.90380581360503,27.897752313794633,-1020.0,31.708339899186868,-0.7220864638786072
2022,KAYSERİ,38374,38902,-528,1441523,80,26.620456281308034,26.986735556768778,-0.3662792754607453,-2.5378930226731766,-5.54789800137836,-1241.0,-3.022389946135051,-0.8633661234351337
2023,KAYSERİ,47180,46791,389,1445683,80,32.635093585523244,32.36601661636749,0.26907696915575546,20.27916302503727,22.947829259394382,917.0,19.933055809150968,0.6353562446165008
2024,KAYSERİ,37960,36622,1338,1452458,80,26.135007001923636,25.213809969031807,0.921197032891829,-21.7328118655297,-19.542178889359896,949.0,-22.09788968506805,0.6521200637360736
2008,KIRIKKALE,11360,16605,-5245,279325,80,40.669471046272264,59.44688087353441,-18.77740982726215,,,,,
2009,KIRIKKALE,15861,15565,296,280834,80,56.47820420604343,55.424200773410625,1.054003432632801,-6.263173742848538,39.62147887323943,5541.0,-6.766848051593355,19.83141325989495
2010,KIRIKKALE,12488,19229,-6741,276647,80,45.14055818425647,69.50735052250702,-24.36679233825055,23.539993575329255,-21.2659983607591,-7037.0,25.40974800281233,-25.420795770883352
2011,KIRIKKALE,12190,17482,-5292,274992,80,44.32856228544831,63.5727584802467,-19.244196194798395,-9.085235841697436,-2.3862908392056403,1449.0,-8.53807834372663,5.1225961434521565
2012,KIRIKKALE,13776,13912,-136,274727,80,50.144325093638415,50.63936198480674,-0.4950368911683235,-20.42100446173206,13.010664479081214,5156.0,-20.344243044697542,18.749159303630073
2013,KIRIKKALE,15089,17818,-2729,274658,80,54.93741307371349,64.87340619971019,-9.935993125996694,28.0764807360552,9.531068524970966,-2593.0,28.10865630410997,-9.44095623482837
2014,KIRIKKALE,13306,18744,-5438,271092,80,49.08296814365603,69.142578903103,-20.059610759446976,5.196991806038831,-11.816555106368876,-2709.0,6.580774701809755,-10.123617633450282
2015,KIRIKKALE,12585,15204,-2619,270271,80,46.564374276189454,56.2546481124501,-9.690273836260642,-18.886043533930863,-5.418608146700732,2819.0,-18.639644333651706,10.369336923186333
