year,province,in_migration,out_migration,net_migration,out_migration_growth
2008,ADANA,45493,58316,-12823,
2009,ADANA,53685,54109,-424,-7.214143631250424
2010,ADANA,53096,57402,-4306,6.085863719529105
2011,ADANA,50523,62402,-11879,8.71049789205951
2012,ADANA,45927,59294,-13367,-4.9806095958462855
2013,ADANA,50598,62933,-12335,6.137214557965387
2014,ADANA,51562,63181,-11619,0.39406988384471653
2015,ADANA,52647,64192,-11545,1.60016460644814
2016,ADANA,51466,60759,-9293,-5.348018444666003
2017,ADANA,49509,62834,-13325,3.4151319146134673
2018,ADANA,51660,70638,-18978,12.42002737371486
2019,ADANA,52290,60900,-8610,-13.785781024377819
2020,ADANA,47088,45832,1256,-24.742200328407225
2021,ADANA,53649,65628,-11979,43.192529237214174
2022,ADANA,55018,62156,-7138,-5.290424818674955
2023,ADANA,66104,77898,-11794,25.326597593152723
2024,ADANA,55342,56108,-766,-27.972476828673397
2008,ADIYAMAN,12155,20971,-8816,
2009,ADIYAMAN,12091,18295,-6204,-12.760478756377857
2010,ADIYAMAN,14150,20135,-5985,10.057392730254167
2011,ADIYAMAN,13873,23939,-10066,18.892475788428122
2012,ADIYAMAN,14323,22591,-8268,-5.630978737624792
2013,ADIYAMAN,15715,24077,-8362,6.5778407330352895
2014,ADIYAMAN,16578,24330,-7752,1.0507953648710489
2015,ADIYAMAN,18523,24064,-5541,-1.09330045211673
2016,ADIYAMAN,18789,21201,-2412,-11.897440159574469
2017,ADIYAMAN,18040,22741,-4701,7.263808310928721
2018,ADIYAMAN,22034,22897,-863,0.6859856646585394
2019,ADIYAMAN,17619,24821,-7202,8.402847534611514
2020,ADIYAMAN,16163,16936,-773,-31.767454977639897
2021,ADIYAMAN,17598,24860,-7262,46.78790741615493
2022,ADIYAMAN,18780,23359,-4579,-6.037811745776345
2023,ADIYAMAN,23294,48372,-25078,107.0807825677469
2024,ADIYAMAN,22295,21158,1137,-56.25981973042256
2008,AFYONKARAHİSAR,18270,24861,-6591,
2009,AFYONKARAHİSAR,20223,22256,-2033,-10.478259120711153
2010,AFYONKARAHİSAR,17451,24119,-6668,8.37077641984183
2011,AFYONKARAHİSAR,17219,24063,-6844,-0.23218209710187399
2012,AFYONKARAHİSAR,24167,21738,2429,-9.66213689066201
2013,AFYONKARAHİSAR,22200,26799,-4599,23.28181065415402
2014,AFYONKARAHİSAR,21414,27100,-5686,1.1231762379193322
2015,AFYONKARAHİSAR,22922,26226,-3304,-3.225092250922512
2016,AFYONKARAHİSAR,22467,24400,-1933,-6.962556241897355
2017,AFYONKARAHİSAR,21453,25483,-4030,4.438524590163939
2018,AFYONKARAHİSAR,26976,25049,1927,-1.7030961817682377
2019,AFYONKARAHİSAR,23818,27006,-3188,7.8126871332188985
2020,AFYONKARAHİSAR,18439,19434,-995,-28.03821373028216
2021,AFYONKARAHİSAR,24643,25327,-684,30.323145003601937
2022,AFYONKARAHİSAR,23667,25425,-1758,0.38693883997316103
2023,AFYONKARAHİSAR,30431,26427,4004,3.9410029498525123
2024,AFYONKARAHİSAR,20801,25035,-4234,-5.267340220229311
2008,AKSARAY,11146,12596,-1450,
2009,AKSARAY,10217,12587,-2370,-0.07145125436646138
2010,AKSARAY,10159,13225,-3066,5.068721696988954
2011,AKSARAY,10778,13142,-2364,-0.627599243856336
2012,AKSARAY,10667,12374,-1707,-5.843859382133621
2013,AKSARAY,11491,13726,-2235,10.926135445288509
2014,AKSARAY,11936,14577,-2641,6.199912574675803
2015,AKSARAY,12205,14164,-1959,-2.8332304315016765
2016,AKSARAY,15234,12294,2940,-13.202485173679756
2017,AKSARAY,14139,13799,340,12.241743940133398
2018,AKSARAY,16680,14441,2239,4.652511051525465
2019,AKSARAY,13689,15672,-1983,8.52434041963852
2020,AKSARAY,12208,12311,-103,-21.445890760592135
2021,AKSARAY,14210,15529,-1319,26.13922508325888
2022,AKSARAY,14264,14147,117,-8.899478395260484
2023,AKSARAY,20400,15112,5288,6.821234183925928
2024,AKSARAY,13969,14893,-924,-1.4491794600317576
2008,AMASYA,11748,14268,-2520,
2009,AMASYA,11533,13187,-1654,-7.57639472946453
2010,AMASYA,11729,13726,-1997,4.087358762417526
2011,AMASYA,11424,14142,-2718,3.030744572344446
2012,AMASYA,11228,13128,-1900,-7.170131523122613
2013,AMASYA,12379,14658,-2279,11.654478976233996
2014,AMASYA,12970,14817,-1847,1.0847318870241596
2015,AMASYA,13957,15092,-1135,1.8559762435040872
2016,AMASYA,15395,13609,1786,-9.826398091704213
2017,AMASYA,14326,14675,-349,7.8330516569917075
2018,AMASYA,16760,15237,1523,3.829642248722309
2019,AMASYA,13329,14813,-1484,-2.782700006562977
2020,AMASYA,12241,11347,894,-23.398366299871732
2021,AMASYA,15244,14540,704,28.13959636908434
2022,AMASYA,15217,13847,1370,-4.766162310866573
2023,AMASYA,19307,15046,4261,8.65891528851015
2024,AMASYA,13879,14446,-567,-3.987770836102622
2008,ANKARA,156760,126198,30562,
2009,ANKARA,168193,131114,37079,3.8954658552433408
2010,ANKARA,182845,133440,49405,1.7740287078420236
2011,ANKARA,191864,137385,54479,2.956384892086339
2012,ANKARA,160235,137834,22401,0.32681879390035196
2013,ANKARA,186642,153791,32851,11.576969397971482
2014,ANKARA,203621,163612,40009,6.385939359260284
2015,ANKARA,204048,153001,51047,-6.4854656137691595
2016,ANKARA,177166,159915,17251,4.518924712910377
2017,ANKARA,188100,156058,32042,-2.41190632523528
2018,ANKARA,184382,221747,-37365,42.09268348947186
2019,ANKARA,211744,154464,57280,-30.342236873554096
2020,ANKARA,153162,141165,11997,-8.609773151025479
2021,ANKARA,197702,165604,32098,17.31236496298658
2022,ANKARA,189104,161912,27192,-2.2294147484360316
2023,ANKARA,232700,208740,23960,28.92188349226741
2024,ANKARA,202402,150373,52029,-27.9615789977963
2008,ANTALYA,92031,55806,36225,
2009,ANTALYA,75696,58632,17064,5.063971615955265
2010,ANTALYA,86907,61662,25245,5.1678264428980825
2011,ANTALYA,89731,62875,26856,1.9671758943920148
2012,ANTALYA,83596,62893,20703,0.028628230616312145
2013,ANTALYA,88605,64075,24530,1.8793824431971862
2014,ANTALYA,93057,64631,28426,0.8677331252438636
2015,ANTALYA,96441,68374,28067,5.791338521762013
2016,ANTALYA,79203,73119,6084,6.939772428115942
2017,ANTALYA,87232,72178,15054,-1.2869432021772709
2018,ANTALYA,95920,80349,15571,11.320624012857095
2019,ANTALYA,100140,68494,31646,-14.754383999800869
2020,ANTALYA,83035,62325,20710,-9.006628317808863
2021,ANTALYA,88305,80505,7800,29.1696750902527
2022,ANTALYA,92004,78986,13018,-1.8868393267498895
2023,ANTALYA,118356,88758,29598,12.371812726305919
2024,ANTALYA,96618,71999,24619,-18.881678271254422
2008,ARDAHAN,4640,7447,-2807,
2009,ARDAHAN,3775,7033,-3258,-5.559285618369813
2010,ARDAHAN,4586,6857,-2271,-2.502488269586234
2011,ARDAHAN,4908,6673,-1765,-2.6833892372757795
2012,ARDAHAN,4923,5986,-1063,-10.29521954143564
2013,ARDAHAN,5254,7633,-2379,27.514199799532246
2014,ARDAHAN,5323,8033,-2710,5.240403511070357
2015,ARDAHAN,5630,7802,-2172,-2.8756379932777243
2016,ARDAHAN,5164,6880,-1716,-11.817482696744419
2017,ARDAHAN,5284,7154,-1870,3.9825581395348753
2018,ARDAHAN,7342,6376,966,-10.87503494548504
2019,ARDAHAN,5164,7028,-1864,10.225846925972393
2020,ARDAHAN,4085,5215,-1130,-25.796812749003983
2021,ARDAHAN,4750,6445,-1695,23.585810162991372
2022,ARDAHAN,5391,8157,-2766,26.5632273079907
2023,ARDAHAN,6856,6811,45,-16.501164643864165
2024,ARDAHAN,4570,6441,-1871,-5.432388782851271
2008,ARTVİN,6700,8660,-1960,
2009,ARTVİN,6206,7547,-1341,-12.852193995381068
2010,ARTVİN,7115,7988,-873,5.843381476083209
2011,ARTVİN,7948,7948,0,-0.5007511266900355
2012,ARTVİN,7286,7612,-326,-4.227478610971314
2013,ARTVİN,10053,8644,1409,13.557540725170792
2014,ARTVİN,9551,10187,-636,17.850532161036558
2015,ARTVİN,9050,10969,-1919,7.676450377932653
2016,ARTVİN,8240,9283,-1043,-15.370589844106119
2017,ARTVİN,7788,10146,-2358,9.296563610901654
2018,ARTVİN,15934,8876,7058,-12.517248176621331
2019,ARTVİN,8403,11676,-3273,31.54574132492114
2020,ARTVİN,6358,7801,-1443,-33.18773552586502
2021,ARTVİN,8238,8224,14,5.422381745930016
2022,ARTVİN,9983,9879,104,20.124027237354092
2023,ARTVİN,13425,10352,3073,4.787934001417149
2024,ARTVİN,7670,10400,-2730,0.46367851622874934
2008,AYDIN,34375,25577,8798,
2009,AYDIN,28524,27640,884,8.0658404034875
2010,AYDIN,29971,29923,48,8.259768451519545
2011,AYDIN,32077,31056,1021,3.7863850549744393
2012,AYDIN,32412,29623,2789,-4.6142452344152485
2013,AYDIN,34688,32338,2350,9.165175708064677
2014,AYDIN,45842,32396,13446,0.17935555692991656
2015,AYDIN,42743,37689,5054,16.338436844054826
2016,AYDIN,40363,33119,7244,-12.125553875135985
2017,AYDIN,41352,35339,6013,6.703100939038009
2018,AYDIN,47005,36462,10543,3.177792240867028
2019,AYDIN,40439,36180,4259,-0.773407931545167
2020,AYDIN,35455,30996,4459,-14.328358208955228
2021,AYDIN,46485,37246,9239,20.163892115111626
2022,AYDIN,45705,36499,9206,-2.0055844922944766
2023,AYDIN,52916,41605,11311,13.989424367790892
2024,AYDIN,40849,35832,5017,-13.875736089412328
2008,AĞRI,12195,27450,-15255,
2009,AĞRI,12115,22613,-10498,-17.62112932604736
2010,AĞRI,14950,22966,-8016,1.5610489541414196
2011,AĞRI,15508,25182,-9674,9.649046416441687
2012,AĞRI,12856,27984,-15128,11.12699547295688
2013,AĞRI,14725,28477,-13752,1.7617209834190906
2014,AĞRI,14480,30995,-16515,8.842223548828887
2015,AĞRI,16597,32174,-15577,3.80383932892403
2016,AĞRI,14306,30811,-16505,-4.2363399017840475
2017,AĞRI,15088,32479,-17391,5.4136509688098355
2018,AĞRI,20091,29482,-9391,-9.227500846700941
2019,AĞRI,16342,28158,-11816,-4.490875788616789
2020,AĞRI,14626,24353,-9727,-13.513033596136093
2021,AĞRI,14858,34800,-19942,42.898205559889945
2022,AĞRI,16871,37676,-20805,8.264367816091944
2023,AĞRI,23324,30696,-7372,-18.526382843189293
2024,AĞRI,14411,30970,-16559,0.8926244461819222
2008,BALIKESİR,37407,31129,6278,
2009,BALIKESİR,33275,31291,1984,0.5204150470622171
2010,BALIKESİR,36784,35162,1622,12.370969288293754
2011,BALIKESİR,37143,36638,505,4.197713440646145
2012,BALIKESİR,34922,35315,-393,-3.6110049675200595
2013,BALIKESİR,38710,39688,-978,12.382840152909536
2014,BALIKESİR,57551,39918,17633,0.5795202580124892
2015,BALIKESİR,43296,48892,-5596,22.48108622676486
2016,BALIKESİR,43475,38566,4909,-21.12001963511413
2017,BALIKESİR,43998,40371,3627,4.6802883368770365
2018,BALIKESİR,55238,40028,15210,-0.8496197765722968
2019,BALIKESİR,41467,42931,-1464,7.2524233036874275
2020,BALIKESİR,40715,31561,9154,-26.484358621974803
2021,BALIKESİR,50218,40287,9931,27.648046639840306
2022,BALIKESİR,49652,40975,8677,1.7077469158785608
2023,BALIKESİR,60574,43098,17476,5.181208053691266
2024,BALIKESİR,44834,40371,4463,-6.327439788389255
2008,BARTIN,8418,6325,2093,
2009,BARTIN,7566,7104,462,12.316205533596847
2010,BARTIN,6902,7859,-957,10.627815315315313
2011,BARTIN,6560,7619,-1059,-3.0538236416846942
2012,BARTIN,7145,7330,-185,-3.7931487071794168
2013,BARTIN,7886,8133,-247,10.954979536152788
2014,BARTIN,7794,8903,-1109,9.467601131193891
2015,BARTIN,8872,8113,759,-8.87341345613838
2016,BARTIN,8940,8108,832,-0.0616294835449227
2017,BARTIN,8759,8144,615,0.44400592007893813
2018,BARTIN,13399,8813,4586,8.214636542239685
2019,BARTIN,9423,10708,-1285,21.50232610915692
2020,BARTIN,7585,7441,144,-30.50989914082929
2021,BARTIN,10907,8794,2113,18.18303991399006
2022,BARTIN,9990,8634,1356,-1.8194223334091375
2023,BARTIN,13197,8926,4271,3.381978225619653
2024,BARTIN,9439,9569,-130,7.203674658301584
2008,BATMAN,16467,19669,-3202,
2009,BATMAN,18326,16855,1471,-14.306777162031626
2010,BATMAN,19561,18839,722,11.770987837436952
2011,BATMAN,18429,19902,-1473,5.6425500291947595
2012,BATMAN,15906,20739,-4833,4.20560747663552
2013,BATMAN,18816,20209,-1393,-2.5555716283330976
2014,BATMAN,18543,21515,-2972,6.462467217576329
2015,BATMAN,18872,23216,-4344,7.9061120148733455
2016,BATMAN,18757,21489,-2732,-7.438835286009649
2017,BATMAN,19889,22323,-2434,3.8810554237051598
2018,BATMAN,23099,22525,574,0.9048962953008166
2019,BATMAN,20902,23325,-2423,3.5516093229744694
2020,BATMAN,18598,17593,1005,-24.574490889603428
2021,BATMAN,19002,24411,-5409,38.75404990621269
2022,BATMAN,20528,24070,-3542,-1.3969112285445062
2023,BATMAN,27888,25138,2750,4.43705857914416
2024,BATMAN,20987,22923,-1936,-8.811361285702922
2008,BAYBURT,2996,4949,-1953,
2009,BAYBURT,3101,4420,-1319,-10.689028086482121
2010,BAYBURT,3984,4780,-796,8.14479638009049
2011,BAYBURT,3997,4570,-573,-4.3933054393305415
2012,BAYBURT,3664,4085,-421,-10.612691466083145
2013,BAYBURT,4787,4677,110,14.49204406364748
2014,BAYBURT,8912,5583,3329,19.371391917896098
2015,BAYBURT,7150,9281,-2131,66.2367902561347
2016,BAYBURT,16981,6653,10328,-28.315914233380024
2017,BAYBURT,5648,15820,-10172,137.78746430181874
2018,BAYBURT,9450,7772,1678,-50.87231352718078
2019,BAYBURT,9131,7882,1249,1.4153371075656285
2020,BAYBURT,4427,7433,-3006,-5.696523724942903
2021,BAYBURT,9019,6382,2637,-14.139647517825916
2022,BAYBURT,7031,8232,-1201,28.987778125979325
2023,BAYBURT,10202,8309,1893,0.9353741496598733
2024,BAYBURT,5644,8639,-2995,3.971597063425203
2008,BOLU,10049,11032,-983,
2009,BOLU,12808,10124,2684,-8.230601885424216
2010,BOLU,11874,11926,-52,17.799288818648762
2011,BOLU,12545,11386,1159,-4.527922186818712
2012,BOLU,13136,9677,3459,-15.00966098717723
2013,BOLU,13138,12401,737,28.14921979952465
2014,BOLU,13264,13065,199,5.354406902669129
2015,BOLU,14681,12401,2280,-5.082280903176429
2016,BOLU,18528,11762,6766,-5.1528102572373164
2017,BOLU,14839,13643,1196,15.992178200986217
2018,BOLU,18307,14827,3480,8.678443157663263
2019,BOLU,15997,15068,929,1.6254130977271242
2020,BOLU,11430,12565,-1135,-16.61136182638705
2021,BOLU,18470,14162,4308,12.709908475925191
2022,BOLU,15750,14224,1526,0.4377912724191413
2023,BOLU,18099,15105,2994,6.193757030371194
2024,BOLU,13869,13362,507,-11.539225422045686
2008,BURDUR,9674,10019,-345,
2009,BURDUR,8144,8659,-515,-13.574209002894499
2010,BURDUR,9439,8904,535,2.829426030719473
2011,BURDUR,8873,9712,-839,9.074573225516612
2012,BURDUR,11473,8497,2976,-12.510296540362443
2013,BURDUR,11156,10001,1155,17.70036483464752
2014,BURDUR,10235,12271,-2036,22.6977302269773
2015,BURDUR,12537,12247,290,-0.1955830820633997
2016,BURDUR,12337,11059,1278,-9.700334775863473
2017,BURDUR,12745,11786,959,6.573831268649966
2018,BURDUR,15417,12537,2880,6.371966740200241
2019,BURDUR,12134,13603,-1469,8.502831618409502
2020,BURDUR,9201,11422,-2221,-16.033227964419616
2021,BURDUR,15859,11489,4370,0.5865872876904321
2022,BURDUR,14684,13187,1497,14.779354164853341
2023,BURDUR,18013,14536,3477,10.229771744900273
2024,BURDUR,11746,13550,-1804,-6.783159053384702
2008,BURSA,82964,47370,35594,
2009,BURSA,66615,56368,10247,18.995144606290904
2010,BURSA,72640,57220,15420,1.5114958841896176
2011,BURSA,74243,58258,15985,1.8140510311080105
2012,BURSA,67736,61520,6216,5.59923100690034
2013,BURSA,75518,61744,13774,0.3641092327698381
2014,BURSA,80717,65027,15690,5.317115833117381
2015,BURSA,84253,64558,19695,-0.7212388700078454
2016,BURSA,84458,63812,20646,-1.1555500480188385
2017,BURSA,86119,64905,21214,1.7128439791888717
2018,BURSA,80940,80086,854,23.389569370618602
2019,BURSA,85596,68356,17240,-14.646754738655943
2020,BURSA,77039,53940,23099,-21.089589794604713
2021,BURSA,92019,76678,15341,42.1542454579162
2022,BURSA,90863,70447,20416,-8.126190041472125
2023,BURSA,95935,89763,6172,27.41919457180575
2024,BURSA,81656,66440,15216,-25.98286599155554
2008,BİLECİK,8206,8793,-587,
2009,BİLECİK,8283,8251,32,-6.163994086204938
2010,BİLECİK,8876,8690,186,5.320567203975268
2011,BİLECİK,9250,8914,336,2.5776754890678877
2012,BİLECİK,10387,8118,2269,-8.929773390172757
2013,BİLECİK,10231,9202,1029,13.353042621335298
2014,BİLECİK,10090,10114,-24,9.910888937187568
2015,BİLECİK,10890,9806,1084,-3.0452837650781106
2016,BİLECİK,11031,9911,1120,1.0707729961248136
2017,BİLECİK,11744,9359,2385,-5.569569165573607
2018,BİLECİK,11956,12597,-641,34.597713430922106
2019,BİLECİK,10565,10582,-17,-15.995872033023739
2020,BİLECİK,8297,8439,-142,-20.251370251370247
2021,BİLECİK,11974,8855,3119,4.929494015878655
2022,BİLECİK,12078,9453,2625,6.7532467532467555
2023,BİLECİK,13762,11323,2439,19.782079763038183
2024,BİLECİK,10023,10038,-15,-11.348582531131324
2008,BİNGÖL,8977,10192,-1215,
2009,BİNGÖL,6986,10726,-3740,5.239403453689162
2010,BİNGÖL,8453,10448,-1995,-2.5918329293305953
2011,BİNGÖL,9292,10782,-1490,3.1967840735068975
2012,BİNGÖL,7569,11145,-3576,3.366722314969395
2013,BİNGÖL,10968,10940,28,-1.8393898609241788
2014,BİNGÖL,9400,12852,-3452,17.477148080438766
2015,BİNGÖL,9906,13122,-3216,2.1008403361344463
2016,BİNGÖL,10304,11205,-901,-14.609053497942382
2017,BİNGÖL,11979,11941,38,6.568496207050423
2018,BİNGÖL,15770,12216,3554,2.3029896993551624
2019,BİNGÖL,11266,14879,-3613,21.799279633267844
2020,BİNGÖL,9497,10633,-1136,-28.536864036561592
2021,BİNGÖL,12027,13376,-1349,25.797046929370836
2022,BİNGÖL,11900,14926,-3026,11.587918660287077
2023,BİNGÖL,15784,14325,1459,-4.026530885702806
2024,BİNGÖL,10029,13794,-3765,-3.706806282722508
2008,BİTLİS,11721,20957,-9236,
2009,BİTLİS,11594,16485,-4891,-21.33893209905998
2010,BİTLİS,10800,15347,-4547,-6.903245374582956
2011,BİTLİS,11419,16610,-5191,8.229621424382616
2012,BİTLİS,10998,16886,-5888,1.6616496086694799
2013,BİTLİS,11314,16174,-4860,-4.216510718938771
2014,BİTLİS,11447,17470,-6023,8.012860145913203
2015,BİTLİS,11936,18801,-6865,7.618775042930737
2016,BİTLİS,12571,18074,-5503,-3.866815594915163
2017,BİTLİS,12989,19097,-6108,5.660064180590907
2018,BİTLİS,17602,17398,204,-8.896685343247634
2019,BİTLİS,12385,19050,-6665,9.495344292447406
2020,BİTLİS,12050,14223,-2173,-25.338582677165356
2021,BİTLİS,14158,18814,-4656,32.278703508401875
2022,BİTLİS,15111,19885,-4774,5.692569363240141
2023,BİTLİS,19286,19795,-509,-0.4526024641689719
2024,BİTLİS,13700,18195,-4495,-8.082849204344534
2008,DENİZLİ,22721,22120,601,
2009,DENİZLİ,20119,21706,-1587,-1.8716094032549702
2010,DENİZLİ,21863,23468,-1605,8.117571178476002
2011,DENİZLİ,23454,23853,-399,1.6405317879665926
2012,DENİZLİ,24446,21992,2454,-7.801953632666747
2013,DENİZLİ,27088,24039,3049,9.307930156420507
2014,DENİZLİ,28279,24771,3508,3.045051790839892
2015,DENİZLİ,30185,24961,5224,0.7670259577732041
2016,DENİZLİ,28170,24794,3376,-0.6690437081847689
2017,DENİZLİ,28855,25466,3389,2.710333145115751
2018,DENİZLİ,28047,28906,-859,13.508207021126207
2019,DENİZLİ,26235,27146,-911,-6.088701307686984
2020,DENİZLİ,22534,21370,1164,-21.277536285272237
2021,DENİZLİ,30589,27480,3109,28.591483387927006
2022,DENİZLİ,29528,26478,3050,-3.646288209606985
2023,DENİZLİ,32655,29994,2661,13.27894856106957
2024,DENİZLİ,25866,24816,1050,-17.263452690538106
2008,DÜZCE,10723,8913,1810,
2009,DÜZCE,11752,9046,2706,1.4922024009873303
2010,DÜZCE,11820,10893,927,20.417864249392004
2011,DÜZCE,11253,10679,574,-1.9645643991554218
2012,DÜZCE,10432,10579,-147,-0.9364172675344173
2013,DÜZCE,12367,11306,1061,6.872105113904903
2014,DÜZCE,11980,12249,-269,8.340704050946401
2015,DÜZCE,13434,12088,1346,-1.3143930116744196
2016,DÜZCE,15958,11119,4839,-8.016214427531432
2017,DÜZCE,15023,11387,3636,2.41028869502653
2018,DÜZCE,17445,12790,4655,12.321067884429615
2019,DÜZCE,15454,14798,656,15.699765441751378
2020,DÜZCE,11757,10565,1192,-28.605216921205567
2021,DÜZCE,16828,14191,2637,34.3208707998107
2022,DÜZCE,17049,15220,1829,7.251074624762177
2023,DÜZCE,19891,16124,3767,5.9395532194481016
2024,DÜZCE,15051,13450,1601,-16.58397419995038
2008,DİYARBAKIR,31677,47777,-16100,
2009,DİYARBAKIR,32384,43918,-11534,-8.07710823199448
2010,DİYARBAKIR,34810,44858,-10048,2.1403524750671643
2011,DİYARBAKIR,36622,46834,-10212,4.405011369209499
2012,DİYARBAKIR,30789,47575,-16786,1.5821838835034407
2013,DİYARBAKIR,35466,47949,-12483,0.7861271676300685
2014,DİYARBAKIR,36920,48019,-11099,0.1459884460572658
2015,DİYARBAKIR,36124,56025,-19901,16.672567108852743
2016,DİYARBAKIR,39177,55604,-16427,-0.751450245426144
2017,DİYARBAKIR,40493,48983,-8490,-11.907416732609166
2018,DİYARBAKIR,43836,50822,-6986,3.754363758855117
2019,DİYARBAKIR,42329,49730,-7401,-2.148675770335684
2020,DİYARBAKIR,39101,42992,-3891,-13.549165493665793
2021,DİYARBAKIR,40414,60761,-20347,41.33094529214738
2022,DİYARBAKIR,45963,59751,-13788,-1.6622504567074259
2023,DİYARBAKIR,49440,63878,-14438,6.906997372428902
2024,DİYARBAKIR,43561,50981,-7420,-20.1900497823977
2008,EDİRNE,11202,14249,-3047,
2009,EDİRNE,15183,12910,2273,-9.397150677240507
2010,EDİRNE,14019,14830,-811,14.872192099147941
2011,EDİRNE,14494,14588,-94,-1.6318273769386327
2012,EDİRNE,14813,13675,1138,-6.2585686865917145
2013,EDİRNE,16255,17000,-745,24.314442413162695
2014,EDİRNE,16431,17108,-677,0.6352941176470672
2015,EDİRNE,18779,17458,1321,2.0458265139116305
2016,EDİRNE,16623,17190,-567,-1.535112842249975
2017,EDİRNE,19125,15999,3126,-6.928446771378704
2018,EDİRNE,18792,17162,1630,7.26920432527034
2019,EDİRNE,16864,16761,103,-2.3365575107796244
2020,EDİRNE,12252,14264,-2012,-14.897679136089737
2021,EDİRNE,19443,15822,3621,10.92260235558049
2022,EDİRNE,19699,16197,3502,2.3701175578308753
2023,EDİRNE,22281,17181,5100,6.075199110946472
2024,EDİRNE,17332,16323,1009,-4.993888597869745
2008,ELAZIĞ,15294,18813,-3519,
2009,ELAZIĞ,15900,18001,-2101,-4.316164354435759
2010,ELAZIĞ,15551,19438,-3887,7.9828898394533665
2011,ELAZIĞ,16862,20054,-3192,3.169050313818289
2012,ELAZIĞ,17108,18344,-1236,-8.526977161663506
2013,ELAZIĞ,21433,21303,130,16.130614914958574
2014,ELAZIĞ,19724,24162,-4438,13.42064497958033
2015,ELAZIĞ,22170,21699,471,-10.193692575117952
2016,ELAZIĞ,18990,20519,-1529,-5.438038619291207
2017,ELAZIĞ,20406,22054,-1648,7.480871387494514
2018,ELAZIĞ,30152,24358,5794,10.447084429128495
2019,ELAZIĞ,20343,29248,-8905,20.07553986369981
2020,ELAZIĞ,15529,21166,-5637,-27.632658643326035
2021,ELAZIĞ,20800,22429,-1629,5.96711707455353
2022,ELAZIĞ,21060,22271,-1211,-0.7044451379909944
2023,ELAZIĞ,35924,24456,11468,9.810964931974308
2024,ELAZIĞ,20035,23315,-3280,-4.665521753352964
2008,ERZURUM,18999,43585,-24586,
2009,ERZURUM,24830,33681,-8851,-22.723414018584375
2010,ERZURUM,23294,35711,-12417,6.0271369614916415
2011,ERZURUM,27719,33599,-5880,-5.914144101257312
2012,ERZURUM,22551,33234,-10683,-1.086341855412365
2013,ERZURUM,23398,39997,-16599,20.34964193296023
2014,ERZURUM,27994,45209,-17215,13.030977323299254
2015,ERZURUM,29624,41803,-12179,-7.533898117631443
2016,ERZURUM,26957,36340,-9383,-13.06844006411023
2017,ERZURUM,26624,37358,-10734,2.801320858558065
2018,ERZURUM,32501,35431,-2930,-5.158199047058199
2019,ERZURUM,26819,40401,-13582,14.027264260111206
2020,ERZURUM,20405,30220,-9815,-25.1998712903146
2021,ERZURUM,28554,36798,-8244,21.767041694242216
2022,ERZURUM,26629,39159,-12530,6.416109571172357
2023,ERZURUM,34129,38115,-3986,-2.666053780740063
2024,ERZURUM,22614,34522,-11908,-9.42673488128034
2008,ERZİNCAN,10977,11976,-999,
2009,ERZİNCAN,11966,11189,777,-6.571476285905142
2010,ERZİNCAN,14198,12365,1833,10.51032263830547
2011,ERZİNCAN,11523,14218,-2695,14.985847149211473
2012,ERZİNCAN,12192,10649,1543,-25.10198340132227
2013,ERZİNCAN,12662,12884,-222,20.987886186496386
2014,ERZİNCAN,15450,13641,1809,5.875504501707551
2015,ERZİNCAN,14062,16766,-2704,22.908877648266255
2016,ERZİNCAN,12666,12748,-82,-23.96516760109746
2017,ERZİNCAN,15162,14210,952,11.46846564166928
2018,ERZİNCAN,19727,17511,2216,23.23011963406052
2019,ERZİNCAN,14496,17555,-3059,0.2512706298897882
2020,ERZİNCAN,10907,10998,-91,-37.35118199943036
2021,ERZİNCAN,16049,13564,2485,23.33151482087652
2022,ERZİNCAN,15946,15542,404,14.582718961958129
2023,ERZİNCAN,19786,19054,732,22.59683438424913
2024,ERZİNCAN,12737,15638,-2901,-17.92799412196914
2008,ESKİŞEHİR,31731,21970,9761,
2009,ESKİŞEHİR,32346,23225,9121,5.712335002275837
2010,ESKİŞEHİR,31662,26780,4882,15.306781485468246
2011,ESKİŞEHİR,35045,27908,7137,4.212098581030621
2012,ESKİŞEHİR,32363,25299,7064,-9.34857388562419
2013,ESKİŞEHİR,33893,28329,5564,11.976757974623498
2014,ESKİŞEHİR,35927,27977,7950,-1.2425429771612095
2015,ESKİŞEHİR,36041,28298,7743,1.14737105479501
2016,ESKİŞEHİR,36687,25785,10902,-8.880486253445474
2017,ESKİŞEHİR,38060,27799,10261,7.8107426798526225
2018,ESKİŞEHİR,35995,32946,3049,18.51505449836326
2019,ESKİŞEHİR,36757,29543,7214,-10.329023250166935
2020,ESKİŞEHİR,25376,25533,-157,-13.57343533155062
2021,ESKİŞEHİR,36776,31532,5244,23.495084792229658
2022,ESKİŞEHİR,37278,29766,7512,-5.600659647342388
2023,ESKİŞEHİR,45072,34020,11052,14.29147349324733
2024,ESKİŞEHİR,35984,29165,6819,-14.271017048794832
2008,GAZİANTEP,37184,36229,955,
2009,GAZİANTEP,36075,34125,1950,-5.807502277181264
2010,GAZİANTEP,40380,36327,4053,6.4527472527472485
2011,GAZİANTEP,45991,38634,7357,6.350648278140225
2012,GAZİANTEP,41672,39410,2262,2.008593466894437
2013,GAZİANTEP,41978,42291,-313,7.310327328089317
2014,GAZİANTEP,46438,44415,2023,5.022345179825494
